1,1220,1,2012,20,624,31,312
1,1255,1,2012,20,624,31,312
1,2038,1,2012,20,624,31,312
2,1691,2,2012,20,624,31,312
3,952,3,2012,20,624,31,312
3,1541,3,2012,20,624,31,312
3,2374,3,2012,20,624,31,312
17,260,1,2011,20,626,31,313
17,666,1,2011,20,626,31,313
17,699,1,2011,20,626,31,313
17,882,1,2011,20,626,31,313
17,896,1,2011,20,626,31,313
17,999,1,2011,20,626,31,313
17,1075,1,2011,20,626,31,313
17,1617,1,2011,20,626,31,313
17,1807,1,2011,20,626,31,313
17,1817,1,2011,20,626,31,313
17,2372,1,2011,20,626,31,313
17,2440,1,2011,20,626,31,313
19,48,3,2011,20,626,31,313
19,397,3,2011,20,626,31,313
19,415,3,2011,20,626,31,313
19,430,3,2011,20,626,31,313
19,496,3,2011,20,626,31,313
19,603,3,2011,20,626,31,313
19,657,3,2011,20,626,31,313
19,739,3,2011,20,626,31,313
19,805,3,2011,20,626,31,313
19,1088,3,2011,20,626,31,313
19,1130,3,2011,20,626,31,313
19,1189,3,2011,20,626,31,313
19,1273,3,2011,20,626,31,313
19,1365,3,2011,20,626,31,313
19,1394,3,2011,20,626,31,313
19,1537,3,2011,20,626,31,313
19,1561,3,2011,20,626,31,313
19,1656,3,2011,20,626,31,313
19,1670,3,2011,20,626,31,313
19,1795,3,2011,20,626,31,313
19,1809,3,2011,20,626,31,313
19,1840,3,2011,20,626,31,313
19,1841,3,2011,20,626,31,313
19,1862,3,2011,20,626,31,313
19,1940,3,2011,20,626,31,313
19,1964,3,2011,20,626,31,313
19,2096,3,2011,20,626,31,313
19,2135,3,2011,20,626,31,313
19,2141,3,2011,20,626,31,313
19,2163,3,2011,20,626,31,313
19,2198,3,2011,20,626,31,313
19,2229,3,2011,20,626,31,313
19,2350,3,2011,20,626,31,313
19,2357,3,2011,20,626,31,313
19,2441,3,2011,20,626,31,313
19,2447,3,2011,20,626,31,313
19,2466,3,2011,20,626,31,313
